id_pl,company_id,year,sales,operating_profit,net_profit,eps,id_bs,equity,reserves,borrowings,assets,liabilities,net_profit_margin,operating_profit_margin,return_on_equity,return_on_capital_employed,return_on_assets,debt_to_equity,interest_coverage_ratio,net_debt,high_leverage_flag,debt_free,asset_turnover,company_name,anchor_year,revenue_cagr_3yr_value,revenue_cagr_3yr_flag,revenue_cagr_5yr_value,revenue_cagr_5yr_flag,pat_cagr_3yr_value,pat_cagr_3yr_flag,pat_cagr_5yr_value,pat_cagr_5yr_flag
11,INFY,2023,56000.0,12320.0,8400.0,53.5,11,28000.0,39000.0,11000.0,88000.0,21000.0,0.15,0.22,0.3,0.14,0.09545454545454546,0.39285714285714285,,11000.0,False,LEVERAGED,0.6363636363636364,Infosys Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
12,INFY,2024,62000.0,13640.0,9300.0,62.0,12,31000.0,43000.0,10000.0,96000.0,22000.0,0.15,0.22,0.3,0.14208333333333334,0.096875,0.3225806451612903,,10000.0,False,LEVERAGED,0.6458333333333334,Infosys Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
13,ICICIBANK,2022,50000.0,11000.0,7500.0,45.0,13,25000.0,35000.0,12000.0,80000.0,20000.0,0.15,0.22,0.3,0.1375,0.09375,0.48,,12000.0,False,LEVERAGED,0.625,ICICI Bank Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
14,ICICIBANK,2023,56000.0,12320.0,8400.0,53.5,14,28000.0,39000.0,11000.0,88000.0,21000.0,0.15,0.22,0.3,0.14,0.09545454545454546,0.39285714285714285,,11000.0,False,LEVERAGED,0.6363636363636364,ICICI Bank Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
15,ICICIBANK,2024,62000.0,13640.0,9300.0,62.0,15,31000.0,43000.0,10000.0,96000.0,22000.0,0.15,0.22,0.3,0.14208333333333334,0.096875,0.3225806451612903,,10000.0,False,LEVERAGED,0.6458333333333334,ICICI Bank Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
16,LT,2022,50000.0,11000.0,7500.0,45.0,16,25000.0,35000.0,12000.0,80000.0,20000.0,0.15,0.22,0.3,0.1375,0.09375,0.48,,12000.0,False,LEVERAGED,0.625,Larsen & Toubro Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
17,LT,2023,56000.0,12320.0,8400.0,53.5,17,28000.0,39000.0,11000.0,88000.0,21000.0,0.15,0.22,0.3,0.14,0.09545454545454546,0.39285714285714285,,11000.0,False,LEVERAGED,0.6363636363636364,Larsen & Toubro Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
18,LT,2024,62000.0,13640.0,9300.0,62.0,18,31000.0,43000.0,10000.0,96000.0,22000.0,0.15,0.22,0.3,0.14208333333333334,0.096875,0.3225806451612903,,10000.0,False,LEVERAGED,0.6458333333333334,Larsen & Toubro Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
19,SBIN,2022,50000.0,11000.0,7500.0,45.0,19,25000.0,35000.0,12000.0,80000.0,20000.0,0.15,0.22,0.3,0.1375,0.09375,0.48,,12000.0,False,LEVERAGED,0.625,State Bank of India,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
20,SBIN,2023,56000.0,12320.0,8400.0,53.5,20,28000.0,39000.0,11000.0,88000.0,21000.0,0.15,0.22,0.3,0.14,0.09545454545454546,0.39285714285714285,,11000.0,False,LEVERAGED,0.6363636363636364,State Bank of India,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
21,SBIN,2024,62000.0,13640.0,9300.0,62.0,21,31000.0,43000.0,10000.0,96000.0,22000.0,0.15,0.22,0.3,0.14208333333333334,0.096875,0.3225806451612903,,10000.0,False,LEVERAGED,0.6458333333333334,State Bank of India,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
22,ITC,2022,50000.0,11000.0,7500.0,45.0,22,25000.0,35000.0,12000.0,80000.0,20000.0,0.15,0.22,0.3,0.1375,0.09375,0.48,,12000.0,False,LEVERAGED,0.625,ITC Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
23,ITC,2023,56000.0,12320.0,8400.0,53.5,23,28000.0,39000.0,11000.0,88000.0,21000.0,0.15,0.22,0.3,0.14,0.09545454545454546,0.39285714285714285,,11000.0,False,LEVERAGED,0.6363636363636364,ITC Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
24,ITC,2024,62000.0,13640.0,9300.0,62.0,24,31000.0,43000.0,10000.0,96000.0,22000.0,0.15,0.22,0.3,0.14208333333333334,0.096875,0.3225806451612903,,10000.0,False,LEVERAGED,0.6458333333333334,ITC Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
25,BHARTIARTL,2022,50000.0,11000.0,7500.0,45.0,25,25000.0,35000.0,12000.0,80000.0,20000.0,0.15,0.22,0.3,0.1375,0.09375,0.48,,12000.0,False,LEVERAGED,0.625,Bharti Airtel Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
26,BHARTIARTL,2023,56000.0,12320.0,8400.0,53.5,26,28000.0,39000.0,11000.0,88000.0,21000.0,0.15,0.22,0.3,0.14,0.09545454545454546,0.39285714285714285,,11000.0,False,LEVERAGED,0.6363636363636364,Bharti Airtel Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
27,BHARTIARTL,2024,62000.0,13640.0,9300.0,62.0,27,31000.0,43000.0,10000.0,96000.0,22000.0,0.15,0.22,0.3,0.14208333333333334,0.096875,0.3225806451612903,,10000.0,False,LEVERAGED,0.6458333333333334,Bharti Airtel Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
28,MARUTI,2022,50000.0,11000.0,7500.0,45.0,28,25000.0,35000.0,12000.0,80000.0,20000.0,0.15,0.22,0.3,0.1375,0.09375,0.48,,12000.0,False,LEVERAGED,0.625,Maruti Suzuki India Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
29,MARUTI,2023,56000.0,12320.0,8400.0,53.5,29,28000.0,39000.0,11000.0,88000.0,21000.0,0.15,0.22,0.3,0.14,0.09545454545454546,0.39285714285714285,,11000.0,False,LEVERAGED,0.6363636363636364,Maruti Suzuki India Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
30,MARUTI,2024,62000.0,13640.0,9300.0,62.0,30,31000.0,43000.0,10000.0,96000.0,22000.0,0.15,0.22,0.3,0.14208333333333334,0.096875,0.3225806451612903,,10000.0,False,LEVERAGED,0.6458333333333334,Maruti Suzuki India Ltd,2024,,insufficient_data,,insufficient_data,,insufficient_data,,insufficient_data
